,name,gender_add,year,category,publication
558,Larry C. Price,male,1981,Spot-News-Photography,Fort Worth (TX) Star-Telegram
559,Lee Hills,male,1956,Local-Reporting;-Edition-Time,Detroit Free Press
560,Leland Stowe,male,1930,Correspondence,New York Herald Tribune
561,Leon Dash,male,1995,Explanatory-Journalism,The Washington Post
562,Leonard Pitts Jr.,male,2004,Commentary,The Miami Herald
563,Lewis M. Simons,male,1986,International-Reporting,San Jose (CA) Mercury News
564,Lloyd Schwartz,male,1994,Criticism,The Boston Phoenix
565,Loren Jenkins,male,1983,International-Reporting,The New York Times and The Washington Post
566,Lou Kilzer,male,1990,Investigative-Reporting,Star Tribune
567,Lou Saldivar,male,2011,Explanatory-Reporting,Milwaukee Journal Sentinel
568,Louis Isaac Jaffe,male,1929,Editorial-Writing,Norfolk Virginian-Pilot
569,Louis LaCoss,male,1952,Editorial-Writing,St. Louis Globe-Democrat
570,Louis M. Kohlmeier,male,1965,National-Reporting,The Wall Street Journal
571,Louis P. Lochner,male,1939,Correspondence,Associated Press
572,Louis Seibold,male,1921,Reporting,New York World
573,Louis Stark,male,1942,Telegraphic-Reporting-(National),The New York Times
574,Lowell Bergman,male,2004,Public-Service,The New York Times
575,Lucian Perkins,male,2000,Feature-Photography,The Washington Post
576,Lute Pease,male,1949,Editorial-Cartooning,Newark Evening News
577,Malcolm Johnson,male,1949,Local-Reporting,New York Sun
578,Malcolm W. Browne,male,1964,International-Reporting,Associated Press
579,Manny Crisostomo,male,1989,Feature-Photography,Detroit Free Press
580,Manu Brabo,male,2013,Breaking-News-Photography,Associated Press
581,Mark Feeney,male,2008,Criticism,The Boston Globe
582,Mark Fiore,male,2010,Editorial-Cartooning,"self syndicated, appearing on SFGate.com"
583,Mark Fritz,male,1995,International-Reporting,Associated Press
584,Mark Johnson,male,2011,Explanatory-Reporting,Milwaukee Journal Sentinel
585,Mark Konkol,male,2011,Local-Reporting,Chicago Sun-Times
586,Mark Mahoney,male,2009,Editorial-Writing,The Post-Star
587,Mark S. Watson,male,1945,Telegraphic-Reporting-(International),The Baltimore Sun
588,Mark Schoofs,male,2000,International-Reporting,The Village Voice
589,Marquis W. Childs,male,1970,Commentary,St. Louis Post-Dispatch
590,Martin Bernheimer,male,1982,Criticism,Los Angeles Times
591,Massoud Hossaini,male,2012,Breaking-News-Photography,Agence France-Presse
592,Matt Apuzzo,male,2012,Investigative-Reporting,Associated Press
593,Matt Davies,male,2004,Editorial-Cartooning,The Journal News
594,Matt Rainey,male,2001,Feature-Photography,The Star-Ledger
595,Matt Richtel,male,2010,National-Reporting,The New York Times
596,Matt Wuerker,male,2012,Editorial-Cartooning,POLITICO
597,Matthew Lewis,male,1975,Feature-Photography,The Washington Post
598,Max Desfor,male,1951,Photography,Associated Press
599,Max Frankel,male,1973,International-Reporting,The New York Times
600,Melvin H. Ruder,male,1965,Local-General-or-Spot-News-Reporting,Hungry Horse News
601,Michael A. Hiltzik,male,1999,Beat-Reporting,Los Angeles Times
602,Michael D. Sallah,male,2004,Investigative-Reporting,The Blade
603,Michael Dirda,male,1993,Criticism,The Washington Post
604,Michael Gartner,male,1997,Editorial-Writing,The Daily Tribune
605,Michael J. Berens,male,2012,Investigative-Reporting,The Seattle Times
606,Michael LaForgia,male,2014,Local-Reporting,Tampa Bay Times
607,Michael M. York,male,1986,Investigative-Reporting,Lexington (KY) Herald-Leader
608,Michael Moss,male,2010,Explanatory-Reporting,The New York Times
609,Michael Parks,male,1987,International-Reporting,Los Angeles Times
610,Michael Ramirez,male,2008,Editorial-Cartooning,Investor's Business Daily
611,Michael Skube,male,1989,Criticism,News and Observer
612,Michael Vitez,male,1997,Explanatory-Journalism,The Philadelphia Inquirer
613,Michael Williamson,male,2000,Feature-Photography,The Washington Post
614,Michel du Cille,male,1986,Spot-News-Photography,The Miami Herald
615,Michel Laurent,male,1972,Spot-News-Photography,Associated Press
616,Mike Keefe,male,2011,Editorial-Cartooning,The Denver Post
617,Mike Luckovich,male,1995,Editorial-Cartooning,The Atlanta Constitution
618,Mike McAlary,male,1998,Commentary,New York Daily News
619,Mike McGraw,male,1992,National-Reporting,The Kansas City Star
620,Mike Peters,male,1981,Editorial-Cartooning,Dayton Daily News
621,Mike Royko,male,1972,Commentary,Chicago Daily News
622,Mike Toner,male,1993,Explanatory-Journalism,The Atlanta Journal-Constitution
623,Milton Brooks,male,1942,Photography,The Detroit News
624,Mitch Weiss,male,2004,Investigative-Reporting,The Blade
625,Monroe Karmin,male,1967,National-Reporting,The Wall Street Journal
626,Muhammed Muheisen,male,2013,Breaking-News-Photography,Associated Press
627,Murray Kempton,male,1985,Commentary,Newsday
628,Narciso Contreras,male,2013,Breaking-News-Photography,Associated Press
629,Nat S. Finney,male,1948,National-Reporting,Minneapolis Tribune
630,Nathan G. Caldwell,male,1962,National-Reporting,Nashville Tennessean
631,Nathan K. (Nick) Kotz,male,1968,National-Reporting,Des Moines Register
632,Nathaniel Fein,male,1949,Photography,New York Herald Tribune
633,Neal Ulevich,male,1977,Spot-News-Photography,Associated Press
634,Nelson Harding,male,1927,Editorial-Cartooning,Brooklyn Daily Eagle
635,Nicholas D. Kristof,male,1990,International-Reporting,The New York Times
636,Nick Anderson,male,2005,Editorial-Cartooning,Louisville Courier-Journal
637,Nigel Jaquiss,male,2005,Investigative-Reporting,Willamette Week
638,Nils Bruzelius,male,1980,Local-Investigative-Specialized-Reporting,The Boston Globe
639,Norman C. Miller,male,1964,Local-General-or-Spot-News-Reporting,The Wall Street Journal
640,Norman F. Cardoza,male,1977,Editorial-Writing,Reno (Nev.) Evening Gazette and Nevada State Journal
641,Norman Lockman,male,1984,Local-Investigative-Specialized-Reporting,The Boston Globe
642,Oded Balilty,male,2007,Breaking-News-Photography,Associated Press
643,Oscar Griffin Jr.,male,1963,Local-Reporting;-No-Edition-Time,Pecos (TX) Independent and Enterprise
644,Otto D. Tolischus,male,1940,Correspondence,The New York Times
645,Patrick B. Oliphant,male,1967,Editorial-Cartooning,The Denver Post
646,Patrick Farrell,male,2009,Breaking-News-Photography,The Miami Herald
647,Patrick J. Sloyan,male,1992,International-Reporting,Newsday
648,Paul A. Gigot,male,2000,Commentary,The Wall Street Journal
649,Paul Conrad,male,1971,Editorial-Cartooning,Los Angeles Times
650,Paul Gapp,male,1979,Criticism,Chicago Tribune
651,Paul Giblin,male,2009,Local-Reporting,East Valley Tribune
652,Paul Goldberger,male,1984,Criticism,The New York Times
653,Paul Greenberg,male,1969,Editorial-Writing,Pine Bluff (AR) Commercial
654,Paul Henderson,male,1982,Local-Investigative-Specialized-Reporting,The Seattle Times
655,Paul Ingrassia,male,1993,Beat-Reporting,The Wall Street Journal
656,Paul Salopek,male,2001,International-Reporting,Chicago Tribune
657,Paul Schoenstein and Associates,male,1944,Reporting,New York Journal-American
658,Paul Scott Mowrer,male,1929,Correspondence,Chicago Daily News
659,Paul Szep,male,1974,Editorial-Cartooning,The Boston Globe
660,Paul Vathis,male,1962,Photography,Associated Press
661,Paul W. Ward,male,1948,International-Reporting,The Baltimore Sun
662,Paul Watson,male,1994,Spot-News-Photography,The Toronto Star
663,Paul Y. Anderson,male,1929,Reporting,St. Louis Post-Dispatch
664,Pete Carey,male,1986,International-Reporting,San Jose (CA) Mercury News
665,Peter Arnett,male,1966,International-Reporting,Associated Press
666,Peter Gorner,male,1987,Explanatory-Journalism,Chicago Tribune
667,Peter Mark Rinearson,male,1984,Feature-Writing,The Seattle Times
668,Peter R. Kann,male,1972,International-Reporting,The Wall Street Journal
669,Philip Kennicott,male,2013,Criticism,The Washington Post
670,Philip L. Geyelin,male,1970,Editorial-Writing,The Washington Post
671,Philip P. Kerby,male,1976,Editorial-Writing,Los Angeles Times
672,Philip Santora,male,1959,International-Reporting,New York Daily News
673,Preston Gannaway,male,2008,Feature-Photography,Concord (NH) Monitor
674,Price Day,male,1949,International-Reporting,The Baltimore Sun
675,Ralph McGill,male,1959,Editorial-Writing,The Atlanta Constitution
676,Randall Savage,male,1985,Specialized-Reporting,Macon (GA) Telegraph and News
677,Raymond Sprigle,male,1938,Reporting,Pittsburgh Post-Gazette
678,Reg (Reginald W.) Manning,male,1951,Editorial-Cartooning,The Arizona Republic
679,Reuben L. Goldberg,male,1948,Editorial-Cartooning,New York Sun
680,Reuben Maury,male,1941,Editorial-Writing,New York Daily News
681,Richard Aregood,male,1985,Editorial-Writing,The Philadelphia Daily News
682,Richard Ben Cramer,male,1979,International-Reporting,The Philadelphia Inquirer
683,Richard Cooper,male,1972,Local-General-or-Spot-News-Reporting,Rochester (NY) Times-Union
684,Richard Eder,male,1987,Criticism,Los Angeles Times
685,Richard Locher,male,1983,Editorial-Cartooning,Chicago Tribune
686,Richard Read,male,1999,Explanatory-Reporting,The Oregonian
687,Richard Whitt,male,1978,Local-General-or-Spot-News-Reporting,Louisville Courier-Journal
688,Richard Wilson,male,1954,National-Reporting,Des Moines Register
689,Rick Atkinson,male,1982,National-Reporting,The Kansas City Times
690,Rick Attig,male,2006,Editorial-Writing,The Oregonian
691,Rick Bragg,male,1996,Feature-Writing,The New York Times
692,Rick Loomis,male,2007,Explanatory-Reporting,Los Angeles Times
693,Ricky Carioti,male,2011,Breaking-News-Photography,The Washington Post
694,Rob Kuznia,male,2015,Local-Reporting,Daily Breeze
695,Robert B. Lowe,male,1981,Local-Investigative-Specialized-Reporting,The Arizona Daily Star
696,Robert B. Semple,male,1996,Editorial-Writing,The New York Times
697,Robert Boyd,male,1973,National-Reporting,Knight Newspapers
698,Robert Cahn,male,1969,National-Reporting,The Christian Science Monitor
699,Robert Campbell,male,1996,Criticism,The Boston Globe
700,Robert D. McFadden,male,1996,Spot-News-Reporting,The New York Times
701,Robert D. Mulllins,male,1962,Local-Reporting;-Edition-Time,Deseret News
702,Robert H. Jackson,male,1964,Photography,Dallas Times Herald
703,Robert L. Bartley,male,1980,Editorial-Writing,The Wall Street Journal
704,Robert Lasch,male,1966,Editorial-Writing,St. Louis Post-Dispatch
705,Robert M. Porterfield,male,1980,Local-Investigative-Specialized-Reporting,The Boston Globe
706,Robert S. Capers,male,1992,Explanatory-Journalism,Hartford (CT) Courant
707,Robert V. Cox,male,1967,Local-General-or-Spot-News-Reporting,Chambersburg (Pennsylvania) Public Opinion
708,Robert York,male,1956,Editorial-Cartooning,Louisville (KY) Times
709,Robin Givhan,male,2006,Criticism,The Washington Post
710,Robin Hood,male,1977,Feature-Photography,Chattanooga News-Free Press
711,Rocco Morabito,male,1968,Spot-News-Photography,Jacksonville Journal
712,Rodrigo Abd,male,2013,Breaking-News-Photography,Associated Press
713,Roger B. Linscott,male,1973,Editorial-Writing,Berkshire Eagle
714,Roger Ebert,male,1975,Criticism,Chicago Sun-Times
715,Roland Kenneth Towery,male,1955,Local-Reporting;-No-Edition-Time,Cuero (TX) Record
716,Rollin Kirby,male,1922,Editorial-Cartooning,New York World
717,Ron Casey,male,1991,Editorial-Writing,The Birmingham (AL) News
718,Ron Cortes,male,1997,Explanatory-Journalism,The Philadelphia Inquirer
719,Ron Edmonds,male,1982,Spot-News-Photography,Associated Press
720,Ron Olshwanger,male,1989,Spot-News-Photography,freelance photographer
721,Ron Suskind,male,1995,Feature-Writing,The Wall Street Journal
722,Ronald G. Callvert,male,1939,Editorial-Writing,The Oregonian
723,Ronald Kotulak,male,1994,Explanatory-Journalism,Chicago Tribune
724,Ronald Powers,male,1973,Criticism,Chicago Sun-Times
725,Ross A. Lewis,male,1935,Editorial-Cartooning,The Milwaukee Journal
726,Ross Anderson,male,1990,National-Reporting,The Seattle Times
727,Roy Gutman,male,1993,International-Reporting,Newsday
728,Royce Brier,male,1934,Reporting,San Francisco Chronicle
729,Royce Howes,male,1955,Editorial-Writing,Detroit Free Press
730,Russell Baker,male,1979,Commentary,The New York Times
731,Russell Carollo,male,1998,National-Reporting,Dayton Daily News
732,Russell D. Owen,male,1930,Reporting,The New York Times
733,Russell Jones,male,1957,International-Reporting,United Press
734,Ryan Gabrielson,male,2009,Local-Reporting,East Valley Tribune
735,Sang-Hun Choe,male,2000,Investigative-Reporting,Associated Press
736,Saul Pett,male,1982,Feature-Writing,Associated Press
737,Scott Higham,male,2002,Investigative-Reporting,The Washington Post
738,Scott Shaw,male,1988,Spot-News-Photography,Odessa (TX) American
739,Sebastian Smee,male,2011,Criticism,The Boston Globe
740,Serge Schmemann,male,1991,International-Reporting,The New York Times
741,Seymour M. Hersh,male,1970,International-Reporting,Dispatch News Service
742,Slava Veder,male,1974,Feature-Photography,Associated Press
743,Stan Grossfeld,male,1984,Spot-News-Photography,The Boston Globe
744,Stanley Forman,male,1976,Spot-News-Photography,Boston Herald American
745,Stanley Penn,male,1967,National-Reporting,The Wall Street Journal
746,Stanton Delaplane,male,1942,Reporting,San Francisco Chronicle
747,Stephen A. Kurkjian,male,1972,Local-Investigative-Specialized-Reporting,The Boston Globe
748,Stephen Henderson,male,2014,Commentary,Detroit Free Press
749,Stephen Hunter,male,2003,Criticism,The Washington Post
750,Stephen P. Breen,male,1998,Editorial-Cartooning,Asbury Park Press
751,Stephen R. Benson,male,1993,Editorial-Cartooning,The Arizona Republic
752,Steve Berry,male,1993,Investigative-Reporting,Orlando (FL) Sentinel
753,Steve Breen,male,2009,Editorial-Cartooning,The San Diego Union-Tribune
754,Steve Coll,male,1990,Explanatory-Journalism,The Washington Post
755,Steve Fainaru,male,2008,International-Reporting,The Washington Post
756,Steve Sack,male,2013,Editorial-Cartooning,Star Tribune
757,Steve Starr,male,1970,Spot-News-Photography,Associated Press
758,Steve Twomey,male,1987,Feature-Writing,The Philadelphia Inquirer
759,Steven Pearlstein,male,2008,Commentary,The Washington Post
760,Sydney H. Schanberg,male,1976,International-Reporting,The New York Times
761,Taro M. Yamasaki,male,1981,Feature-Photography,Detroit Free Press
762,the late Frank I. Cobb,male,1924,Editorial-Writing,New York World
763,Thomas F. Darcy,male,1970,Editorial-Cartooning,Newsday
764,Thomas Fitzpatrick,male,1970,Local-General-or-Spot-News-Reporting,Chicago Sun-Times
765,Thomas French,male,1998,Feature-Writing,St. Petersburg (FL) Times
766,Thomas J. Hylton,male,1990,Editorial-Writing,The Pottstown (PA) Mercury
767,Thomas J. Kelly III,male,1979,Spot-News-Photography,The Pottstown (PA) Mercury
768,Thomas J. Knudson,male,1985,National-Reporting,Des Moines Register
769,Thomas Friedman,male,1988,International-Reporting,The New York Times
770,Thomas Lunsford Stokes,male,1939,Reporting,Scripps-Howard Newspaper Alliance
771,Thomas M. Burton,male,2004,Explanatory-Reporting,The Wall Street Journal
772,Thomas M. Storke,male,1962,Editorial-Writing,Santa Barbara (CA) News-Press
773,Thomas Powers,male,1971,National-Reporting,United Press Internationalcategory
774,Thomas Turcol,male,1985,General-News-Reporting,Virginian-Pilot and Ledger-Star
775,Tim Nickens,male,2013,Editorial-Writing,Tampa Bay Times
776,Tim Page,male,1997,Criticism,The Washington Post
777,Tim Weiner,male,1988,National-Reporting,The Philadelphia Inquirer
778,Timothy Leland,male,1972,Local-Investigative-Specialized-Reporting,The Boston Globe
779,Tod Robberson,male,2010,Editorial-Writing,The Dallas Morning News
780,Todd Heisler,male,2006,Feature-Photography,Rocky Mountain News
781,Tom Gralish,male,1986,Feature-Photography,The Philadelphia Inquirer
782,Tom Hallman Jr.,male,2001,Feature-Writing,The Oregonian
783,Tom Little,male,1957,Editorial-Cartooning,Nashville Tennessean
784,Tom Philp,male,2005,Editorial-Writing,The Sacramento Bee
785,Tom Shales,male,1988,Criticism,The Washington Post
786,Tom Toles,male,1990,Editorial-Cartooning,The Buffalo News
787,Tony Auth,male,1976,Editorial-Cartooning,The Philadelphia Inquirer
788,Tony Horwitz,male,1995,National-Reporting,The Wall Street Journal
789,Toshio Sakai,male,1968,Feature-Photography,United Press Internationalcategory
790,Tyler Hicks,male,2014,Breaking-News-Photography,The New York Times
791,Vance Trimble,male,1960,National-Reporting,Scripps-Howard Newspaper Alliance
792,Vaughn Shoemaker,male,1938,Editorial-Cartooning,Chicago Daily News
793,Wallace Turner,male,1957,Local-Reporting;-No-Edition-Time,Portland Oregonian
794,Walt Bogdanich,male,2005,National-Reporting,The New York Times
795,Walt Handelsman,male,2007,Editorial-Cartooning,Newsday
796,Walter Duranty,male,1932,Correspondence,The New York Times
797,Walter Kerr,male,1978,Criticism,The New York Times
798,Walter Lippmann,male,1962,International-Reporting,New York Herald Tribune
799,Walter M. Schau,male,1954,Photography,The Akron (OH) Beacon Journal
800,Walter Mears,male,1977,National-Reporting,Associated Press
801,Walter Wellesley (Red) Smith,male,1976,Commentary,The New York Times
802,Warren L. Lerude,male,1977,Editorial-Writing,Reno (Nev.) Evening Gazette and Nevada State Journal
803,Wendell Rawls Jr.,male,1977,Local-Investigative-Specialized-Reporting,The Philadelphia Inquirer
804,Wesley Morris,male,2012,Criticism,The Boston Globe
805,Wilfred C. Barber,male,1936,Correspondence,Chicago Tribune
806,Will Englund,male,1998,Investigative-Reporting,The Baltimore Sun
807,Will Hobson,male,2014,Local-Reporting,Tampa Bay Times
808,William A. Caldwell,male,1971,Commentary,The Record
809,William A. Henry III,male,1980,Criticism,The Boston Globe
810,William Allen White,male,1923,Editorial-Writing,Emporia (KS) Gazette
811,William Burke Miller,male,1926,Reporting,Louisville Courier-Journal
812,William C. Beall,male,1958,Photography,Washington (DC) Daily News
813,William Gaines,male,1988,Investigative-Reporting,Chicago Tribune
814,William H. (Bill) Mauldin,male,1959,Editorial-Cartooning,St. Louis Post-Dispatch
815,William H. Grimes,male,1947,Editorial-Writing,The Wall Street Journal
816,William H. Taylor,male,1935,Reporting,New York Herald Tribune
817,William Harry Fitzpatrick,male,1951,Editorial-Writing,New Orleans States
818,William J. Dorvillier,male,1961,Editorial-Writing,San Juan (Puerto Rico) Star
819,William J. Eaton,male,1970,National-Reporting,Chicago Daily News
820,William Jones,male,1971,Local-Investigative-Specialized-Reporting,Chicago Tribune
821,William K. Marimow,male,1985,Investigative-Reporting,The Philadelphia Inquirer
822,William L. Laurence,male,1937,Reporting,The New York Times
823,William Lamber,male,1957,Local-Reporting;-No-Edition-Time,Portland Oregonian
824,William Leonard Laurence,male,1946,Reporting,The New York Times
825,William Longgood,male,1963,Local-Reporting;-Edition-Time,New York World-Telegram
826,William M. Gallagher,male,1953,Photography,Flint (MI) Journal
827,William McKenzie,male,2010,Editorial-Writing,The Dallas Morning News
828,William McPherson,male,1977,Criticism,The Washington Post
829,William Mullen,male,1975,International-Reporting,Chicago Tribune
830,William R. Stall,male,2004,Editorial-Writing,Los Angeles Times
831,William Randolph Hearst Jr.,male,1956,International-Reporting,International News Service
832,William Raspberry,male,1994,Commentary,The Washington Post
833,William Safire,male,1978,Commentary,The New York Times
834,William Seaman,male,1959,Photography,Minneapolis Star
835,William Sherman,male,1974,Local-Investigative-Specialized-Reporting,New York Daily News
836,William Snyder,male,1993,Spot-News-Photography,The Dallas Morning News
837,William Tuohy,male,1969,International-Reporting,Los Angeles Times
838,William Wesley Waymack,male,1938,Editorial-Writing,Register and Tribune
839,Yasushi Nagao,male,1961,Photography,Mainichi
840,Zachary R. Mider,male,2015,Explanatory-Reporting,Bloomberg News
