name,gender,gender_add,year,category,publication,publication2,organizational,first_name,mutiple org,note
Colbert I. King,male,male,2003,Commentary,The Washington Post,,no,Colbert,,
Craig F. Walker,male,male,2010,Feature-Photography,The Denver Post,,no,Craig,,
Craig Flournoy,male,male,1986,National-Reporting,The Dallas Morning News,,no,Craig,,
Dallas Kinney,male,male,1970,Feature-Photography,Palm Beach Post,,no,Dallas,,
Dallas Morning News Team,male,male,1994,International-Reporting,The Dallas Morning News,,no,Dallas,,
Damon Winter,male,male,2009,Feature-Photography,The New York Times,,no,Damon,,
Dan Malone,male,male,1992,Investigative-Reporting,The Dallas Morning News,,no,Dan,,
Dan Neil,male,male,2004,Criticism,Los Angeles Times,,no,Dan,,
Daniel Berehulak,male,male,2015,Feature-Photography,freelance photographer,The New York Times,no,Daniel,,
Daniel De Luce,male,male,1944,Telegraphic-Reporting-(International),Associated Press,,no,Daniel,,
Daniel Golden,male,male,2004,Beat-Reporting,The Wall Street Journal,,no,Daniel,,
Daniel Hertzberg,male,male,1988,Explanatory-Journalism,The Wall Street Journal,,no,Daniel,,
Daniel R. Biddle,male,male,1987,Investigative-Reporting,The Philadelphia Inquirer,,no,Daniel,,
Daniel R. Fitzpatrick,male,male,1955,Editorial-Cartooning,St. Louis Post-Dispatch,,no,Daniel,,
Daniel Ruth,male,male,2013,Editorial-Writing,Tampa Bay Times,,no,Daniel,,
Dave Anderson,male,male,1981,Commentary,The New York Times,,no,Dave,,
Dave Barry,male,male,1988,Commentary,The Miami Herald,,no,Dave,,
Dave Curtin,male,male,1990,Feature-Writing,Colorado Springs Gazette Telegraph,,no,Dave,,
Dave Kennerly,male,male,1972,Feature-Photography,United Press Internationalcategory,,no,Dave,,
David A. Vise,male,male,1990,Explanatory-Journalism,The Washington Post,,no,David,,
David Barboza,male,male,2013,International-Reporting,The New York Times,,no,David,,
David Barstow,male,male,2004,Public-Service,The New York Times,,no,David,,
David C. Turnley,male,male,1990,Feature-Photography,Detroit Free Press,,no,David,,
David Cay Johnston,male,male,2001,Beat-Reporting,The New York Times,,no,David,,
David Dietz,male,male,1937,Reporting,Scripps-Howard,,no,David,,note
David Finkel,male,male,2006,Explanatory-Reporting,The Washington Post,,no,David,,
David Halberstam,male,male,1964,International-Reporting,Associated Press,The New York Times,no,David,y,
David Hanners,male,male,1989,Explanatory-Journalism,The Dallas Morning News,,no,David,,
David Hasemyer,male,male,2013,National-Reporting,InsideClimate News,,no,David,,
David Horsey,male,male,1999,Editorial-Cartooning,The Seattle Post-Intelligencer,,no,David,,
David Kocieniewski,male,male,2012,Explanatory-Reporting,The New York Times,,no,David,,
David Leeson,male,male,2004,Breaking-News-Photography,The Dallas Morning News,,no,David,,
David Leonhardt,male,male,2011,Commentary,The New York Times,,no,David,,
David Maraniss,male,male,1993,National-Reporting,The Washington Post,,no,David,,
David Moats,male,male,2001,Editorial-Writing,Rutland (VT) Herald,,no,David,,
David Peterson,male,male,1987,Feature-Photography,Des Moines Register,,no,David,,
David Philipps,male,male,2014,National-Reporting,The Gazette,,no,David,,
David Rohde,male,male,1996,International-Reporting,The Christian Science Monitor,,no,David,,
David S. Broder,male,male,1973,Commentary,The Washington Post,,no,David,,
David Shaw,male,male,1991,Criticism,Los Angeles Times,,no,David,,
David Shribman,male,male,1995,Beat-Reporting,The Boston Globe,,no,David,,
David Umhoefer,male,male,2008,Local-Reporting,Milwaukee Journal Sentinel,,no,David,,
David Wessel,male,male,1984,Local-Investigative-Specialized-Reporting,The Boston Globe,,no,David,,
David Willman,male,male,2001,Investigative-Reporting,Los Angeles Times,,no,David,,
David Wood,male,male,2012,National-Reporting,The Huffington Post,,no,David,,
David Zucchino,male,male,1989,Feature-Writing,The Philadelphia Inquirer,,no,David,,
Dean Baquet,male,male,1988,Investigative-Reporting,Chicago Tribune,,no,Dean,,
Dennis Bell,male,male,1985,International-Reporting,Newsday,,no,Dennis,,
Denny Walsh,male,male,1969,Local-Investigative-Specialized-Reporting,St. Louis Globe-Democrat,,no,Denny,,
Dewey L. Fleming,male,male,1944,Telegraphic-Reporting-(National),The Baltimore Sun,,no,Dewey,,
Don Bartletti,male,male,2003,Feature-Photography,Los Angeles Times,,no,Don,,
Don Murray,male,male,1954,Editorial-Writing,Boston Herald,,no,Don,,
Don Ultang,male,male,1952,Photography,Des Moines Register,,no,Don,,
Don Whitehead,male,male,1953,National-Reporting,Associated Press,,no,Don,,
Don Wright,male,male,1966,Editorial-Cartooning,The Miami News,,no,Don,,
Donal Henahan,male,male,1986,Criticism,The New York Times,,no,Donal,,
Donald L. Barlett,male,male,1975,National-Reporting,The Philadelphia Inquirer,,no,Donald,,
Doug Bates,male,male,2006,Editorial-Writing,The Oregonian,,no,Doug,,
Doug Marlette,male,male,1988,Editorial-Cartooning,The Atlanta Constitution,Charlotte Observer,no,Doug,,
Earle L. Bunker,male,male,1944,Photography,The World-Herald,,no,Earle,,
Eddy Gilmore,male,male,1947,Telegraphic-Reporting-(International),Associated Press,,no,Eddy,,
Edgar Ansel Mowrer,male,male,1933,Correspondence,Chicago Daily News,,no,Edgar,,
Edgar May,male,male,1961,Local-Reporting;-No-Edition-Time,Buffalo (NY) Evening News,,no,Edgar,,
Edmund Duffy,male,male,1931,Editorial-Cartooning,The Baltimore Sun,,no,Edmund,,
Edmund S. Valtman,male,male,1962,Editorial-Cartooning,The Hartford Times,,no,Edmund,,
Edmund Stevens,male,male,1950,International-Reporting,The Christian Science Monitor,,no,Edmund,,
Edward A. Harris,male,male,1946,Telegraphic-Reporting-(National),St. Louis Post-Dispatch,,no,Edward,,
Edward D. Kuekes,male,male,1953,Editorial-Cartooning,Cleveland Plain Dealer,,no,Edward,,
Edward Humes,male,male,1989,Specialized-Reporting,The Orange County Register,,no,Edward,,
Edward J. Mowery,male,male,1953,Local-Reporting;-No-Edition-Time,New York World-Telegram,,no,Edward,,
Edward M. Kingsbury,male,male,1926,Editorial-Writing,The New York Times,,no,Edward,,
Edward R. Cony,male,male,1961,National-Reporting,The Wall Street Journal,,no,Edward,,
Edward S. Montgomery,male,male,1951,Local-Reporting,San Francisco Examiner,,no,Edward,,
Edward T. Adams,male,male,1969,Spot-News-Photography,Associated Press,,no,Edward,,
Edward T. Folliard,male,male,1947,Telegraphic-Reporting-(National),The Washington Post,,no,Edward,,
Edwin A. Roberts Jr.,male,male,1974,Commentary,National Observer,,no,Edwin,,
Edwin M. Yoder Jr.,male,male,1979,Editorial-Writing,The Washington Star,,no,Edwin,,
Edwin O. Guthman,male,male,1950,National-Reporting,The Seattle Times,,no,Edwin,,
Elliot G. Jaspin,male,male,1979,Local-Investigative-Specialized-Reporting,Pottsville (PA) Republican,,no,Elliot,,
Eric Freedman,male,male,1994,Beat-Reporting,The Detroit News,,no,Eric,,
Eric Lichtblau,male,male,2006,National-Reporting,The New York Times,,no,Eric,,
Eric Lipton,male,male,1992,Explanatory-Journalism,Hartford (CT) Courant,,no,Eric,,
Eric Nalder,male,male,1990,National-Reporting,The Seattle Times,,no,Eric,,
Eric Newhouse,male,male,2000,Explanatory-Reporting,Great Falls (Mont.) Tribune,,no,Eric,,
Ernest Taylor Pyle,male,male,1944,Correspondence,Scripps-Howard Newspaper Alliance,,no,Ernest,,
Erwin H. Hagler,male,male,1980,Feature-Photography,Dallas Times Herald,,no,Erwin,,
Eugene Gray Payne,male,male,1968,Editorial-Cartooning,The Charlotte Observer,,no,Eugene,,
Eugene Patterson,male,male,1967,Editorial-Writing,The Atlanta Constitution,,no,Eugene,,
Eugene Robinson,male,male,2009,Commentary,The Washington Post,,no,Eugene,,
Felix Morley,male,male,1936,Editorial-Writing,Washington Post and Scripps-Howard Newspapers,,no,Felix,,
Forrest W. Seymour,male,male,1943,Editorial-Writing,Register and Tribune,,no,Forrest,,
Foster Church,male,male,1977,Editorial-Writing,Reno (Nev.) Evening Gazette and Nevada State Journal,,no,Foster,,
Francis A. Jamieson,male,male,1933,Reporting,Associated Press,,no,Francis,,
Frank Conniff,male,male,1956,International-Reporting,International News Service,,no,Frank,,
Frank Cushing,male,male,1948,Photography,Boston Traveler,,no,Frank,,
Frank Filan,male,male,1944,Photography,Associated Press,,no,Frank,,
Frank M. O'Brien,male,male,1922,Editorial-Writing,New York Herald,,no,Frank,,
Frank Main,male,male,2011,Local-Reporting,Chicago Sun-Times,,no,Frank,,
Frank Miller,male,male,1963,Editorial-Cartooning,Des Moines Register,,no,Frank,,
Frank Noel,male,male,1943,Photography,Associated Press,,no,Frank,,
Frank Peters Jr.,male,male,1972,Criticism,St. Louis Post-Dispatch,,no,Frank,,
Frank Suraci,male,male,2015,Local-Reporting,Daily Breeze,,no,Frank,,
Fred L. Packer,male,male,1952,Editorial-Cartooning,New York Mirror,,no,Fred,,
Fred Sparks,male,male,1951,International-Reporting,Chicago Daily News,,no,Fred,,note
Frederick Meyer,male,male,1964,Local-Investigative-Specialized-Reporting,The Philadelphia Bulletin,,no,Frederick,,
Frederick T. Birchall,male,male,1934,Correspondence,The New York Times,,no,Frederick,,
Frederick Woltman,male,male,1947,Reporting,New York World-Telegram,,no,Frederick,,
Fredric N. Tulsky,male,male,1987,Investigative-Reporting,The Philadelphia Inquirer,,no,Fredric,,
Gareth Cook,male,male,2005,Explanatory-Reporting,The Boston Globe,,no,Gareth,,
Garry Trudeau,male,male,1975,Editorial-Cartooning,Universal Press Syndicate,,no,Garry,,
Gary Cohn,male,male,1998,Investigative-Reporting,The Baltimore Sun,,no,Gary,,
Gary Mc Millan,male,male,1984,Local-Investigative-Specialized-Reporting,The Boston Globe,,no,Gary,,
Gary Porter,male,male,2011,Explanatory-Reporting,Milwaukee Journal Sentinel,,no,Gary,,
Gaylord D. Shaw,male,male,1978,National-Reporting,Los Angeles Times,,no,Gaylord,,
Gene Goltz,male,male,1965,Local-Investigative-Specialized-Reporting,Houston Post,,no,Gene,,
Gene Miller,male,male,1967,Local-Investigative-Specialized-Reporting,The Miami Herald,,no,Gene,,
Gene S. Graham,male,male,1962,National-Reporting,Nashville Tennessean,,no,Gene,,
Gene Weingarten,male,male,2008,Feature-Writing,The Washington Post,,no,Gene,,
Geoffrey Parsons,male,male,1942,Editorial-Writing,New York Herald Tribune,,no,Geoffrey,,
George B. Parker,male,male,1936,Editorial-Writing,Washington Post and Scripps-Howard Newspapers,,no,George,,
George Beveridge,male,male,1958,Local-Reporting;-No-Edition-Time,The Evening Star,,no,George,,
George Bliss,male,male,1962,Local-Reporting;-No-Edition-Time,Chicago Tribune,,no,George,,
George De Carvalho,male,male,1952,Local-Reporting,San Francisco Chronicle,,no,George,,
George Dohrmann,male,male,2000,Beat-Reporting,St. Paul Pioneer Press,,no,George,,
George E. Goodwin,male,male,1948,Local-Reporting,The Atlanta Journal-Constitution,,no,George,,
George F. Will,male,male,1977,Commentary,The Washington Post,,no,George,,
George Lardner Jr.,male,male,1993,Feature-Writing,The Washington Post,,no,George,,
George Rodrigue,male,male,1986,National-Reporting,The Dallas Morning News,,no,George,,
George W. Potter,male,male,1945,Editorial-Writing,The Providence Journal-Bulletin,,no,George,,
George Weller,male,male,1943,Reporting,Chicago Daily News,,no,George,,
Gerald H. Gay,male,male,1975,Spot-News-Photography,The Seattle Times,,no,Gerald,,
Gerard M. O'Neill,male,male,1972,Local-Investigative-Specialized-Reporting,The Boston Globe,,no,Gerard,,
Gilbert M. Gaul,male,male,1979,Local-Investigative-Specialized-Reporting,Pottsville (PA) Republican,,no,Gilbert,,
Glenn Frankel,male,male,1989,International-Reporting,The Washington Post,,no,Glenn,,
Glenn Howatt,male,male,2013,Local-Reporting,Star Tribune,,no,Glenn,,
Gobind Behari Lal,male,male,1937,Reporting,Universal Service,,no,Gobind,,note
Greg Marinovich,male,male,1991,Spot-News-Photography,Associated Press,,no,Greg,,
Grover Cleveland Hall,male,male,1928,Editorial-Writing,Montgomery (AL) Advertiser,,no,Grover,,
Hal Hendrix,male,male,1963,International-Reporting,The Miami News,,no,Hal,,
Harold A. Littledale,male,male,1918,Reporting,New York Evening Post,,no,Harold,,
Harold C. Schonberg,male,male,1971,Criticism,The New York Times,,no,Harold,,
Harold Eugene Martin,male,male,1970,Local-Investigative-Specialized-Reporting,Montgomery Advertiser and Alabama Journal,,no,Harold,,
Harold Jackson,male,male,1991,Editorial-Writing,The Birmingham (AL) News,,no,Harold,,
Harold V. (Hal) Boyl,male,male,1945,Correspondence,Associated Press,,no,Harold,,
Harrison E. Salisbury,male,male,1955,International-Reporting,The New York Times,,no,Harrison,,
Harry A. Trask,male,male,1957,Photography,Boston Traveler,,no,Harry,,
Harry S. Ashmore,male,male,1958,Editorial-Writing,Arkansas Gazette,,no,Harry,,
Harvey E. Newbranch,male,male,1920,Editorial-Writing,Evening World Herald,,no,Harvey,,
Hector Rondon,male,male,1963,Photography,La Republica,,no,Hector,,
Henry Allen,male,male,2000,Criticism,The Washington Post,,no,Henry,,
Henry Beetle Hough,male,male,1918,Newspaper-History-Award,American Press,,no,Henry,,
Henry J. Haskell,male,male,1944,Editorial-Writing,Kansas City (MO) Star,,no,Henry,,
Henry Kamm,male,male,1978,International-Reporting,The New York Times,,no,Henry,,
Herbert Bayard Swope,male,male,1917,Reporting,New York World,,no,Herbert,,
Herbert Elliston,male,male,1949,Editorial-Writing,The Washington Post,,no,Herbert,,
Herbert L. Block,male,male,1954,Editorial-Cartooning,The Washington Post,Times-Herald,no,Herbert,y,
Herbert Lawrence Block,male,male,1942,Editorial-Cartooning,NEA service,,no,Herbert,,
Homer Bigart,male,male,1951,International-Reporting,New York Herald Tribune,,no,Homer,,note
Homer William Bigart,male,male,1946,Telegraphic-Reporting-(International),New York Herald Tribune,,no,Homer,,
Horst Faas,male,male,1972,Spot-News-Photography,Associated Press,,no,Horst,,
Howard James,male,male,1968,National-Reporting,The Christian Science Monitor,,no,Howard,,
Howard Rosenberg,male,male,1985,Criticism,Los Angeles Times,,no,Howard,,
Howard Van Smith,male,male,1959,National-Reporting,The Miami News,,no,Howard,,
Howard W. Blakeslee,male,male,1937,Reporting,AP,,no,Howard,,note
Howell Raines,male,male,1992,Feature-Writing,The New York Times,,no,Howell,,
Hugh F. Hough,male,male,1974,Local-General-or-Spot-News-Reporting,Chicago Sun-Times,,no,Hugh,,
Ian Johnson,male,male,2001,International-Reporting,The Wall Street Journal,,no,Ian,,
Jack Anderson,male,male,1972,National-Reporting,a syndicated columnist,,no,Jack,,
Jack Dykinga,male,male,1971,Feature-Photography,Chicago Sun-Times,,no,Jack,,
Jack Fuller,male,male,1986,Editorial-Writing,Chicago Tribune,,no,Jack,,
Jack Higgins,male,male,1989,Editorial-Cartooning,Chicago Sun-Times,,no,Jack,,
Jack Nelson,male,male,1960,Local-Reporting;-Edition-Time,The Atlanta Constitution,,no,Jack,,
Jack R. Thornell,male,male,1967,Photography,Associated Press,,no,Jack,,
Jack Reed,male,male,1985,Investigative-Reporting,St. Petersburg (FL) Times,,no,Jack,,
Jack Rosenthal,male,male,1982,Editorial-Writing,The New York Times,,no,Jack,,
Jack S. McDowell,male,male,1945,Reporting,San Francisco Call-Bulletin,,no,Jack,,
Jack White,male,male,1974,National-Reporting,Providence Journal and Evening Bulletin,,no,Jack,,
Jacob Burck,male,male,1941,Editorial-Cartooning,Chicago Times,,no,Jacob,,
Jahangir Razmi,male,male,1980,Spot-News-Photography,Ettela'at,,no,Jahangir,,
Jake Bernstein,male,male,2011,National-Reporting,ProPublica,,no,Jake,,
Jake Hooker,male,male,2008,Investigative-Reporting,The New York Times,,no,Jake,,
James B. Dickman,male,male,1983,Feature-Photography,Dallas Times Herald,,no,James,,
James B. Steele,male,male,1975,National-Reporting,The Philadelphia Inquirer,,no,James,,
James B. Stewart,male,male,1988,Explanatory-Journalism,The Wall Street Journal,,no,James,,
James R. Polk,male,male,1974,National-Reporting,Washington Star-News,,no,James,,
James B. Reston,male,male,1957,National-Reporting,The New York Times,,no,James,,
James Risen,male,male,2006,National-Reporting,The New York Times,,no,James,,
James Risser,male,male,1976,National-Reporting,Des Moines Register,,no,James,,
James T. Berryman,male,male,1950,Editorial-Cartooning,The Evening Star,,no,James,,
James V. Grimaldi,male,male,2006,Investigative-Reporting,The Washington Post,,no,James,,
James V. Magee,male,male,1964,Local-Investigative-Specialized-Reporting,The Philadelphia Bulletin,,no,James,,
James W. Mulroy,male,male,1925,Reporting,Chicago Daily News,,no,James,,
Jason Szep,male,male,2014,International-Reporting,Reuters,,no,Jason,,
Javier Manzano,male,male,2013,Feature-Photography,freelance photographer,,no,Javier,,
Jay Norwood Darling,male,male,1924,Editorial-Cartooning,Des Moines Register,,no,Jay,,
Jeff Brazil,male,male,1993,Investigative-Reporting,Orlando (FL) Sentinel,,no,Jeff,,
Jeff Gerth,male,male,1999,National-Reporting,The New York Times,,no,Jeff,,
Jeff Lyon,male,male,1987,Explanatory-Journalism,Chicago Tribune,,no,Jeff,,
Jeff MacNelly,male,male,1985,Editorial-Cartooning,Chicago Tribune,,no,Jeff,,
Jeff Nesmith,male,male,1998,National-Reporting,Dayton Daily News,,no,Jeff,,
Jeff Taylor,male,male,1992,National-Reporting,The Kansas City Star,,no,Jeff,,
Jeffrey A. Marx,male,male,1986,Investigative-Reporting,Lexington (KY) Herald-Leader,,no,Jeffrey,,
Jeffrey Gettleman,male,male,2012,International-Reporting,The New York Times,,no,Jeffrey,,
Jeffrey Good,male,male,1995,Editorial-Writing,St. Petersburg (FL) Times,,no,Jeffrey,,
Jeffrey K. MacNelly,male,male,1978,Editorial-Cartooning,Richmond (VA) News Leader,,no,Jeffrey,,
Jeremy Olson,male,male,2013,Local-Reporting,Star Tribune,,no,Jeremy,,
Jesse Eisinger,male,male,2011,National-Reporting,ProPublica,,no,Jesse,,
Jim Borgman,male,male,1991,Editorial-Cartooning,The Cincinnati Enquirer,,no,Jim,,
Jim Dwyer,male,male,1995,Commentary,Newsday,,no,Jim,,
Jim G. Lucas,male,male,1954,International-Reporting,Scripps-Howard Newspaper Alliance,,no,Jim,,
Jim Hoagland,male,male,1991,Commentary,The Washington Post,,no,Jim,,
Jim Mitzelfeld,male,male,1994,Beat-Reporting,The Detroit News,,no,Jim,,
Jim Morin,male,male,1996,Editorial-Cartooning,The Miami Herald,,no,Jim,,
Jim Murray,male,male,1990,Commentary,Los Angeles Times,,no,Jim,,
Jim Schaefer,male,male,2009,Local-Reporting,Detroit Free Press,,no,Jim,,
Jim Sheeler,male,male,2006,Feature-Writing,Rocky Mountain News,,no,Jim,,
Jim Yardley,male,male,2006,International-Reporting,The New York Times,,no,Jim,,
Jimmie Lee Hoagland,male,male,1971,International-Reporting,The Washington Post,,no,Jimmie,,
Jimmy Breslin,male,male,1986,Commentary,New York Daily News,,no,Jimmy,,
Joe Mahr,male,male,2004,Investigative-Reporting,The Blade,,no,Joe,,
Joe Morgenstern,male,male,2005,Criticism,The Wall Street Journal,,no,Joe,,
Joe Rosenthal,male,male,1945,Photography,Associated Press,,no,Joe,,
Joel Pett,male,male,2000,Editorial-Cartooning,Lexington (KY) Herald-Leader,,no,Joel,,
Joey Kennedy,male,male,1991,Editorial-Writing,The Birmingham (AL) News,,no,Joey,,
John Anthony Frasca,male,male,1966,Local-Investigative-Specialized-Reporting,Tampa (FL) Tribune,,no,John,,
John Branch,male,male,2013,Feature-Writing,The New York Times,,no,John,,
John C. Bersia,male,male,2000,Editorial-Writing,Orlando Sentinel,,no,John,,
John Camp,male,male,1986,Feature-Writing,St. Paul Pioneer Press,,no,John,,
John Daniell Maurice,male,male,1975,Editorial-Writing,Charleston (WV) Daily Mail,,no,John,,
John Darnton,male,male,1982,International-Reporting,The New York Times,,no,John,,
John F. Burns,male,male,1993,International-Reporting,The New York Times,,no,John,,
John Fetterman,male,male,1969,Local-General-or-Spot-News-Reporting,Louisville Courier-Journal,,no,John,,
John Fischetti,male,male,1969,Editorial-Cartooning,Chicago Daily News,,no,John,,
John H. Blair,male,male,1978,Spot-News-Photography,United Press Internationalcategory,,no,John,,
John H. Crider,male,male,1949,Editorial-Writing,The Boston Herald,,no,John,,
John H. White,male,male,1982,Feature-Photography,Chicago Sun-Times,,no,John,,
John Harold Brislin,male,male,1959,Local-Reporting;-No-Edition-Time,Scranton (PA) Tribune and Scrantonian,,no,John,,
John J. Kim,male,male,2011,Local-Reporting,Chicago Sun-Times,,no,John,,
John J. Leary,male,male,1920,Reporting,New York World,,no,John,,
John J. O'Neill,male,male,1937,Reporting,New York Herald Tribune,,no,John,,note
John Kaplan,male,male,1992,Feature-Photography,Block Newspapers,,no,John,,
John L. Gaunt,male,male,1955,Photography,Los Angeles Times,,no,John,,
John M. Crewdson,male,male,1981,National-Reporting,The New York Times,,no,John,,
John M. Hightower,male,male,1952,International-Reporting,Associated Press,,no,John,,
John Machacek,male,male,1972,Local-General-or-Spot-News-Reporting,Rochester (NY) Times-Union,,no,John,,
John Noble Wilford,male,male,1984,National-Reporting,The New York Times,,no,John,,
John Paul Filo,male,male,1971,Spot-News-Photography,Valley Daily News and Daily Dispatch,,no,John,,
John R. Harrison,male,male,1965,Editorial-Writing,The Gainesville (FL) Sun,,no,John,,
John Robinson,male,male,1952,Photography,Des Moines Register,,no,John,,
John S. Knight,male,male,1968,Editorial-Writing,Knight Newspapers,,no,John,,
John Strohmeyer,male,male,1972,Editorial-Writing,Bethlehem (PA) Globe-Times,,no,John,,
John T. McCutcheon,male,male,1932,Editorial-Cartooning,Chicago Tribune,,no,John,,
John T. Rogers,male,male,1927,Reporting,St. Louis Post-Dispatch,,no,John,,
John W. Owens,male,male,1937,Editorial-Writing,The Baltimore Sun,,no,John,,
John Woestendiek,male,male,1987,Investigative-Reporting,The Philadelphia Inquirer,,no,John,,
Jon Franklin,male,male,1985,Explanatory-Journalism,The Baltimore Evening Sun,,no,Jon,,
Jonathan Freedman,male,male,1987,Editorial-Writing,The Tribune,,no,Jonathan,,
Jonathan Gold,male,male,2007,Criticism,LA Weekly,,no,Jonathan,,
Jonathan Kaufman,male,male,1984,Local-Investigative-Specialized-Reporting,The Boston Globe,,no,Jonathan,,
Jonathan Yardley,male,male,1981,Criticism,The Washington Star,,no,Jonathan,,
Joseph B. White,male,male,1993,Beat-Reporting,The Wall Street Journal,,no,Joseph,,
Joseph Kahn,male,male,2006,International-Reporting,The New York Times,,no,Joseph,,
Joseph Martin,male,male,1959,International-Reporting,New York Daily News,,no,Joseph,,
Joseph Rago,male,male,2011,Editorial-Writing,The Wall Street Journal,,no,Joseph,,
Joseph T. Hallinan,male,male,1991,Investigative-Reporting,The Indianapolis Star,,no,Joseph,,
Josh Friedman,male,male,1985,International-Reporting,Newsday,,no,Josh,,
Josh Haner,male,male,2014,Feature-Photography,The New York Times,,no,Josh,,
Jules Feiffer,male,male,1986,Editorial-Cartooning,The Village Voice,,no,Jules,,
Justin Davidson,male,male,2002,Criticism,Newsday,,no,Justin,,
Ken Armstrong,male,male,2012,Investigative-Reporting,The Seattle Times,,no,Ken,,
Ken Geiger,male,male,1993,Spot-News-Photography,The Dallas Morning News,,no,Ken,,
Kenneth Cooper,male,male,1984,Local-Investigative-Specialized-Reporting,The Boston Globe,,no,Kenneth,,
Kenneth R. Weiss,male,male,2007,Explanatory-Reporting,Los Angeles Times,,no,Kenneth,,
Kevin Carter,male,male,1994,Feature-Photography,freelance photographer,,no,Kevin,,
Kevin Helliker,male,male,2004,Explanatory-Reporting,The Wall Street Journal,,no,Kevin,,
Kevin Sack,male,male,2003,National-Reporting,Los Angeles Times,,no,Kevin,,
Kevin Siers,male,male,2014,Editorial-Cartooning,The Charlotte Observer,,no,Kevin,,
Kevin Sullivan,male,male,2003,International-Reporting,The Washington Post,,no,Kevin,,
Keyes Beech,male,male,1951,International-Reporting,Chicago Daily News,,no,Keyes,,note
Khalil Hamra,male,male,2013,Breaking-News-Photography,Associated Press,,no,Khalil,,
Kirk Scharfenberg,male,male,1984,Local-Investigative-Specialized-Reporting,The Boston Globe,,no,Kirk,,
Kyoichi Sawada,male,male,1966,Photography,United Press Internationalcategory,,no,Kyoichi,,
Lane DeGregory,male,male,2009,Feature-Writing,St. Petersburg (FL) Times,,no,Lane,,
