category,year,name,publication
Local-Reporting,2009,Ryan Gabrielson and Paul Giblin,East Valley Tribune
Local-Reporting,2008,David Umhoefer,Milwaukee Journal Sentinel
Local-Reporting,2007,Debbie Cenziper,The Miami Herald
Local-Reporting,1952,George De Carvalho,San Francisco Chronicle
Local-Reporting,1951,Edward S. Montgomery,San Francisco Examiner
Local-Reporting,1950,Meyer Berger,The New York Times
Local-Reporting,1949,Malcolm Johnson,New York Sun
Local-Reporting,1948,George E. Goodwin,The Atlanta Journal-Constitution
Local-Reporting;-Edition-Time,1963,"Sylvan Fox, Anthony Shannon and William Longgood",New York World-Telegram and Sun
Local-Reporting;-Edition-Time,1962,Robert D. Mulllins,Deseret News
Local-Reporting;-Edition-Time,1961,Sanche De Gramont,New York Herald Tribune
Local-Reporting;-Edition-Time,1960,Jack Nelson,The Atlanta (GA) Constitution
Local-Reporting;-Edition-Time,1959,Miss Mary Lou Werner,The Evening Star
Local-Reporting;-Edition-Time,1958,Staff,Fargo (ND) Forum
Local-Reporting;-Edition-Time,1957,Staff,Salt Lake (UT) Tribune
Local-Reporting;-Edition-Time,1956,Lee Hills,Detroit Free Press
Local-Reporting;-Edition-Time,1955,Mrs. Caro Brown,Alice (TX) Daily Echo
Local-Reporting;-Edition-Time,1954,Staff,Vicksburg (MS) Sunday Post-Herald
Local-Reporting;-Edition-Time,1953,Editorial Staff,Providence (RI) Journal and Evening Bulletin
Local-Reporting;-No-Edition-Time,1963,"Oscar Griffin, Jr.",Pecos (TX) Independent and Enterprise
Local-Reporting;-No-Edition-Time,1962,George Bliss,Chicago Tribune
Local-Reporting;-No-Edition-Time,1961,Edgar May,Buffalo (NY) Evening News
Local-Reporting;-No-Edition-Time,1960,Miriam Ottenberg,The Evening Star
Local-Reporting;-No-Edition-Time,1959,John Harold Brislin,Scranton (PA) Tribune and Scrantonian
Local-Reporting;-No-Edition-Time,1958,George Beveridge,The Evening Star
Local-Reporting;-No-Edition-Time,1957,Wallace Turner and William Lamber,Portland Oregonian
Local-Reporting;-No-Edition-Time,1956,Arthur Daley,The New York Times
Local-Reporting;-No-Edition-Time,1955,Roland Kenneth Towery,Cuero (TX) Record
Local-Reporting;-No-Edition-Time,1954,Alvin Scott McCoy,Kansas City (MO) Star
Local-Reporting;-No-Edition-Time,1953,Edward J. Mowery,New York World-Telegram & Sun
National-Reporting,2015,Carol D. Leonnig,The Washington Post
National-Reporting,2014,David Philipps,The Gazette
National-Reporting,2013,"Lisa Song, Elizabeth McGowan and David Hasemyer",InsideClimate News
National-Reporting,2012,David Wood,The Huffington Post
National-Reporting,2011,Jesse Eisinger and Jake Bernstein,ProPublica
National-Reporting,2010,None,None
National-Reporting,2009,Staff,St. Petersburg Times
National-Reporting,2008,Jo Becker and Barton Gellman,The Washington Post
National-Reporting,2007,Charlie Savage,The Boston Globe
National-Reporting,2006,James Risen and Eric Lichtblau,The New York Times
National-Reporting,2006,None,None
National-Reporting,2005,Walt Bogdanich,The New York Times
National-Reporting,2004,Staff,Los Angeles Times
National-Reporting,2003,Alan Miller and Kevin Sack,Los Angeles Times
National-Reporting,2002,Staff,The Washington Post
National-Reporting,2001,Staff,The New York Times
National-Reporting,2000,Staff,The Wall Street Journal
National-Reporting,1999,None,None
National-Reporting,1998,Russell Carollo and Jeff Nesmith,Dayton Daily News
National-Reporting,1997,Staff,The Wall Street Journal
National-Reporting,1996,Alix M. Freedman,The Wall Street Journal
National-Reporting,1995,Tony Horwitz,The Wall Street Journal
National-Reporting,1994,Eileen Welsome,Albuquerque Tribune
National-Reporting,1993,David Maraniss,The Washington Post
National-Reporting,1992,Jeff Taylor and Mike McGraw,Kansas City Star
National-Reporting,1991,Marjie Lundstrom and Rochelle Sharpe,Gannett News Service
National-Reporting,1990,"Ross Anderson, Bill Dietrich, Mary Ann Gwinn and Eric Nalder",The Seattle Times
National-Reporting,1989,Donald L. Barlett and James B. Steele,The Philadelphia Inquirer
National-Reporting,1988,Tim Weiner,The Philadelphia Inquirer
National-Reporting,1987,Staff,Miami Herald
National-Reporting,1987,Staff,The New York Times
National-Reporting,1986,Craig Flournoy and George Rodrigue,The Dallas Morning News
National-Reporting,1986,Arthur Howe,The Philadelphia Inquirer
National-Reporting,1985,Thomas J. Knudson,Des Moines Register
National-Reporting,1984,John Noble Wilford,The New York Times
National-Reporting,1983,Staff,The Boston Globe
National-Reporting,1982,Rick Atkinson,The Kansas City Times
National-Reporting,1981,John M. Crewdson,The New York Times
National-Reporting,1980,Bette Swenson Orsini and Charles Stafford,St. Petersburg (FL) Times
National-Reporting,1979,James Risser,Des Moines Register
National-Reporting,1978,Gaylord D. Shaw,Los Angeles Times
National-Reporting,1977,Walter Mears,Associated Press
National-Reporting,1976,James Risser,Des Moines Register
National-Reporting,1975,Donald L. Barlett and James B. Steele,The Philadelphia Inquirer
National-Reporting,1974,Jack White,Providence Journal and Evening Bulletin
National-Reporting,1974,James R. Polk,Washington Star-News
National-Reporting,1973,Robert Boyd and Clark Hoyt,Knight Newspapers
National-Reporting,1972,None,None
National-Reporting,1971,Lucinda Franks and Thomas Powers,United Press International
National-Reporting,1970,William J. Eaton,Chicago Daily News
National-Reporting,1969,Robert Cahn,The Christian Science Monitor
National-Reporting,1968,Nathan K. (Nick) Kotz,Des Moines Register and Minneapolis Tribune
National-Reporting,1968,Howard James,The Christian Science Monitor
National-Reporting,1967,Stanley Penn and Monroe Karmin,The Wall Street Journal
National-Reporting,1966,Haynes Johnson,Washington Evening Star
National-Reporting,1965,Louis M. Kohlmeier,The Wall Street Journal
National-Reporting,1964,Merriman Smith,United Press International
National-Reporting,1963,Anthony Lewis,The New York Times
National-Reporting,1962,Nathan G. Caldwell and Gene S. Graham,Nashville Tennessean
National-Reporting,1961,Edward R. Cony,The Wall Street Journal
National-Reporting,1960,Vance Trimble,Scripps-Howard Newspaper Alliance
National-Reporting,1959,Howard Van Smith,The Miami (FL) News
National-Reporting,1958,Clark Mollenhoff,Des Moines Register and Tribune
National-Reporting,1958,Relman Morin,Associated Press
National-Reporting,1957,James Reston,The New York Times
National-Reporting,1956,Charles L. Bartlett,Chattanooga Times
National-Reporting,1955,Anthony Lewis,Washington Daily News
National-Reporting,1954,Richard Wilson,Des Moines Register & Tribune
National-Reporting,1953,Don Whitehead,Associated Press
National-Reporting,1952,Anthony Leviero,The New York Times
National-Reporting,1951,None,None
National-Reporting,1950,Edwin O. Guthman,The Seattle Times
National-Reporting,1949,C. P. Trussell,The New York Times
National-Reporting,1948,Nat S. Finney,Minneapolis Tribune
National-Reporting,1948,Bert Andrews,New York Herald Tribune
Newspaper-History-Award,1918,Minna Lewinson and Henry Beetle Hough,None
Photography,1967,Jack R. Thornell,Associated Press
Photography,1966,Kyoichi Sawada,United Press International
Photography,1965,Horst Faas,Associated Press
Photography,1964,Robert H. Jackson,Dallas Times-Herald
Photography,1963,Hector Rondon,La Republica
Photography,1962,Paul Vathis,Associated Press
Photography,1961,Yasushi Nagao,Mainichi
Photography,1960,Andrew Lopez,United Press International
Photography,1959,William Seaman,Minneapolis Star
Photography,1958,William C. Beall,Washington (DC) Daily News
Photography,1957,Harry A. Trask,Boston Traveler
Photography,1956,Staff,New York Daily News
Photography,1955,John L. Gaunt,Los Angeles Times
Photography,1954,None,None
Photography,1953,William M. Gallagher,Flint (MI) Journal
Photography,1952,John Robinson and Don Ultang,Des Moines Register and Tribune
Photography,1951,Max Desfor,Associated Press
Photography,1950,Bill Crouch,Oakland (CA) Tribune
Photography,1949,Nathaniel Fein,New York Herald-Tribune
Photography,1948,Frank Cushing,Boston Traveler
Photography,1947,None,None
Photography,1946,None,None
Photography,1945,Joe Rosenthal,Associated Press
Photography,1944,Earle L. Bunker,The World-Herald
Photography,1944,Frank Filan,Associated Press
Photography,1943,Frank Noel,Associated Press
Photography,1942,Milton Brooks,The Detroit News
Public-Service,2015,The Post and Courier,The Post and Courier
Public-Service,2014,The Guardian US,The Guardian US
Public-Service,2014,The Washington Post,The Washington Post
Public-Service,2013,Sun Sentinel,Sun Sentinel
Public-Service,2012,The Philadelphia Inquirer,The Philadelphia Inquirer
Public-Service,2011,Los Angeles Times,Los Angeles Times
Public-Service,2010,Bristol (VA) Herald Courier,Bristol (VA) Herald Courier
Public-Service,2009,None,None
Public-Service,2008,The Washington Post,The Washington Post
Public-Service,2007,The Wall Street Journal,The Wall Street Journal
Public-Service,2006,The Times-Picayune,The Times-Picayune
Public-Service,2006,Sun Herald,Sun Herald
Public-Service,2005,Los Angeles Times,Los Angeles Times
Public-Service,2004,None,None
Public-Service,2003,The Boston Globe,The Boston Globe
Public-Service,2002,The New York Times,The New York Times
Public-Service,2001,The Oregonian,The Oregonian
Public-Service,2000,None,None
Public-Service,1999,The Washington Post,The Washington Post
Public-Service,1998,Grand Forks (ND) Herald,Grand Forks (ND) Herald
Public-Service,1997,The Times-Picayune,The Times-Picayune
Public-Service,1996,None,None
Public-Service,1995,The Virgin Islands Daily News,The Virgin Islands Daily News
Public-Service,1994,Akron Beacon Journal,Akron Beacon Journal
Public-Service,1993,The Miami Herald,The Miami Herald
Public-Service,1992,The Sacramento (CA) Bee,The Sacramento (CA) Bee
Public-Service,1991,Des Moines Register,Des Moines Register
Public-Service,1990,Washington (NC) Daily News,Washington (NC) Daily News
Public-Service,1990,Staff,The Philadelphia Inquirer
Public-Service,1989,Anchorage Daily News,Anchorage Daily News
Public-Service,1988,The Charlotte Observer,The Charlotte Observer
Public-Service,1987,The Pittsburgh Press,The Pittsburgh Press
Public-Service,1986,The Denver Post,The Denver Post
Public-Service,1985,Fort Worth (TX) Star-Telegram,Fort Worth (TX) Star-Telegram
Public-Service,1984,Los Angeles Times,Los Angeles Times
Public-Service,1983,Jackson (MS) Clarion-Ledger,Jackson (MS) Clarion-Ledger
Public-Service,1982,The Detroit News,The Detroit News
Public-Service,1981,Charlotte (NC) Observer,Charlotte (NC) Observer
Public-Service,1980,Gannett News Service,Gannett News Service
Public-Service,1979,Point Reyes Light,Point Reyes Light
Public-Service,1978,The Philadelphia Inquirer,The Philadelphia Inquirer
Public-Service,1977,Lufkin (TX) News,Lufkin (TX) News
Public-Service,1976,Anchorage Daily News,Anchorage Daily News
Public-Service,1975,The Boston Globe,The Boston Globe
Public-Service,1974,Newsday,Newsday
Public-Service,1973,The Washington Post,The Washington Post
Public-Service,1972,The New York Times,The New York Times
Public-Service,1971,Winston-Salem (NC) Journal and Sentinel,Winston-Salem (NC) Journal and Sentinel
Public-Service,1970,Newsday,Newsday
Public-Service,1969,Los Angeles Times,Los Angeles Times
Public-Service,1968,Riverside (CA) Press-Enterprise,Riverside (CA) Press-Enterprise
Public-Service,1967,Milwaukee Journal,Milwaukee Journal
Public-Service,1967,Staff,Louisville Courier-Journal
Public-Service,1966,The Boston Globe,The Boston Globe
Public-Service,1965,Hutchinson (KS) News,Hutchinson (KS) News
Public-Service,1964,St. Petersburg (FL) Times,St. Petersburg (FL) Times
Public-Service,1963,Chicago Daily News,Chicago Daily News
Public-Service,1962,Panama City (FL) News-Herald,Panama City (FL) News-Herald
Public-Service,1961,Amarillo (TX) Globe-Times,Amarillo (TX) Globe-Times
Public-Service,1960,Los Angeles Times,Los Angeles Times
Public-Service,1959,Utica (NY) Observer-Dispatch and Utica Daily Press,Utica (NY) Observer-Dispatch and Utica Daily Press
Public-Service,1958,Arkansas Gazette,Arkansas Gazette
Public-Service,1957,Chicago Daily News,Chicago Daily News
Public-Service,1956,Watsonville (CA) Register-Pajaronian,Watsonville (CA) Register-Pajaronian
Public-Service,1955,Columbus (GA) Ledger and Sunday Ledger-Enquirer,Columbus (GA) Ledger and Sunday Ledger-Enquirer
Public-Service,1954,Newsday,Newsday
Public-Service,1953,None,None
Public-Service,1952,St. Louis Post-Dispatch,St. Louis Post-Dispatch
Public-Service,1951,Miami Herald and Brooklyn Eagle,Miami Herald and Brooklyn Eagle
Public-Service,1950,Chicago Daily News and St. Louis Post-Dispatch,Chicago Daily News and St. Louis Post-Dispatch
Public-Service,1949,Nebraska State Journa,Nebraska State Journal
Public-Service,1948,St. Louis Post-Dispatch,St. Louis Post-Dispatch
Public-Service,1947,Baltimore Sun,Baltimore Sun
Public-Service,1946,The Scranton Times,The Scranton Times
Public-Service,1945,Detroit Free Press,Detroit Free Press
Public-Service,1944,The New York Times,The New York Times
Public-Service,1943,Omaha (NE) World-Herald,Omaha (NE) World-Herald
Public-Service,1942,Los Angeles Times,Los Angeles Times
Public-Service,1941,St. Louis Post-Dispatch,St. Louis Post-Dispatch
Public-Service,1940,Waterbury (CT) Republican & American,Waterbury (CT) Republican & American
Public-Service,1939,Miami Daily News,Miami Daily News
Public-Service,1938,Bismarck (ND) Tribune,Bismarck (ND) Tribune
Public-Service,1937,St. Louis Post-Dispatch,St. Louis Post-Dispatch
Public-Service,1936,Cedar Rapids Gazette,Cedar Rapids Gazette
Public-Service,1935,The Sacramento (CA) Bee,The Sacramento (CA) Bee
Public-Service,1934,Medford (OR) Mail Tribune,Medford (OR) Mail Tribune
Public-Service,1933,New York World-Telegram,New York World-Telegram
Public-Service,1932,Indianapolis News,Indianapolis News
Public-Service,1931,The Atlanta Constitution,The Atlanta Constitution
Public-Service,1930,None,None
Public-Service,1929,New York Evening World,New York Evening World
Public-Service,1928,The Indianapolis Times,The Indianapolis Times
Public-Service,1927,Canton (Ohio) Daily News,Canton (Ohio) Daily News
Public-Service,1926,Columbus (GA) Enquirer Sun,Columbus (GA) Enquirer Sun
Public-Service,1925,None,None
Public-Service,1924,New York World,New York World
Public-Service,1923,Memphis Commercial Appeal,Memphis Commercial Appeal
Public-Service,1922,New York World,New York World
Public-Service,1921,The Boston Post,The Boston Post
Public-Service,1920,None,None
Public-Service,1919,The Milwaukee Journal,The Milwaukee Journal
Public-Service,1918,The New York Times,The New York Times
Public-Service,1917,None,None
Reporting,1947,Frederick Woltman,New York World-Telegram
Reporting,1946,William Leonard Laurence,The New York Times
Reporting,1945,Jack S. McDowell,San Francisco Call-Bulletin
Reporting,1944,Paul Schoenstein and Associates,New York Journal-American
Reporting,1943,George Weller,Chicago Daily News
Reporting,1942,Stanton Delaplane,San Francisco Chronicle
Reporting,1941,Westbrook Pegler,New York World-Telegram
Reporting,1940,S. Burton Heath,New York World-Telegram
Reporting,1939,Thomas Lunsford Stokes,Scripps-Howard Newspaper Alliance
Reporting,1938,Raymond Sprigle,Pittsburgh Post-Gazette
Reporting,1937,None,None
Reporting,1936,Lauren D. Lyman,The New York Times
Reporting,1935,William H. Taylor,New York Herald Tribune
Reporting,1934,Royce Brier,San Francisco Chronicle
Reporting,1933,Francis A. Jamieson,Associated Press
Reporting,1932,"W.C. Richards, D.D. Martin, J.S. Pooler, F.D. Webb and J.N.W. Sloan",Detroit Free Press
Reporting,1931,A. B. MacDonald,Kansas City (MO) Star
Reporting,1930,Russell D. Owen,The New York Times
Reporting,1929,Paul Y. Anderson,St. Louis Post-Dispatch
Reporting,1928,None,None
Reporting,1927,John T. Rogers,St. Louis Post-Dispatch
Reporting,1926,William Burke Miller,Louisville Courier-Journal
Reporting,1925,James W. Mulroy and Alvin H. Goldstein,Chicago Daily News
Reporting,1924,Magner White,San Diego Sun
Reporting,1923,Alva Johnston,The New York Times
Reporting,1922,Kirke L. Simpson,Associated Press
Reporting,1921,Louis Seibold,New York World
Reporting,1920,John J. Leary,New York World
Reporting,1919,None,None
Reporting,1918,Harold A. Littledale,New York Evening Post
Reporting,1917,Herbert Bayard Swope,New York World
Specialized-Reporting,1990,Tamar Stieber,Albuquerque Journal
Specialized-Reporting,1989,Edward Humes,Orange County Register
Specialized-Reporting,1988,Walt Bogdanich,The Wall Street Journal
Specialized-Reporting,1987,Alex S. Jones,The New York Times
Specialized-Reporting,1986,Andrew Schneider and Mary Pat Flaherty,Pittsburgh Press
Specialized-Reporting,1985,Randall Savage and Jackie Crosby,Macon (GA) Telegraph and News
Spot-News-Photography,1999,Photo Staff,Associated Press
Spot-News-Photography,1998,Martha Rial,Pittsburgh Post-Gazette
Spot-News-Photography,1997,Annie Wells,The Press Democrat
Spot-News-Photography,1996,None,None
Spot-News-Photography,1995,Carol Guzy,The Washington Post
Spot-News-Photography,1994,Paul Watson,The Toronto Star
Spot-News-Photography,1993,Ken Geiger and William Snyder,The Dallas Morning News
Spot-News-Photography,1992,Staff,Associated Press
Spot-News-Photography,1991,Greg Marinovich,Associated Press
Spot-News-Photography,1990,Photo Staff,The Tribune
Spot-News-Photography,1989,None,None
Spot-News-Photography,1988,Scott Shaw,Odessa (TX) American
Spot-News-Photography,1987,Kim Komenich,San Francisco Examiner
Spot-News-Photography,1986,Carol Guzy and Michel du Cille,The Miami Herald
Spot-News-Photography,1985,Photography Staff,The Register
Spot-News-Photography,1984,Stan Grossfeld,The Boston Globe
Spot-News-Photography,1983,Bill Foley,Associated Press
Spot-News-Photography,1982,Ron Edmonds,Associated Press
Spot-News-Photography,1981,Larry C. Price,Fort Worth (TX) Star-Telegram
Spot-News-Photography,1980,Jahangir Razmi,Ettela'at
Spot-News-Photography,1979,Thomas J. Kelly III,Pottstown (PA) Mercury
Spot-News-Photography,1978,None,None
Spot-News-Photography,1977,Stanley Forman,Boston Herald American
Spot-News-Photography,1977,Neal Ulevich,Associated Press
Spot-News-Photography,1976,Stanley Forman,Boston Herald American
Spot-News-Photography,1975,Gerald H. Gay,The Seattle Times
Spot-News-Photography,1974,None,None
Spot-News-Photography,1973,Huynh Cong Ut,Associated Press
Spot-News-Photography,1972,Horst Faas and Michel Laurent,Associated Press
Spot-News-Photography,1971,John Paul Filo,Valley Daily News and Daily Dispatch
Spot-News-Photography,1970,Steve Starr,Associated Press
Spot-News-Photography,1969,Edward T. Adams,Associated Press
Spot-News-Photography,1968,Rocco Morabito,Jacksonville Journal
Spot-News-Reporting,1997,Staff,Newsday
Spot-News-Reporting,1996,Robert D. McFadden,The New York Times
Spot-News-Reporting,1995,Staff,Los Angeles Times
Spot-News-Reporting,1994,Staff,The New York Times
Spot-News-Reporting,1993,Staff,Los Angeles Times
Spot-News-Reporting,1992,Staff,Newsday
Spot-News-Reporting,1991,Staff,The Miami Herald
Telegraphic-Reporting-(International),1947,Eddy Gilmore,Associated Press
Telegraphic-Reporting-(International),1946,Homer William Bigart,New York Herald Tribune
Telegraphic-Reporting-(International),1945,Mark S. Watson,The Baltimore Sun
Telegraphic-Reporting-(International),1944,Daniel De Luce,Associated Press
Telegraphic-Reporting-(International),1943,Ira Wolfert,"North American Newspaper Alliance, Inc."
Telegraphic-Reporting-(International),1942,Laurence Edmund Allen,Associated Press
Telegraphic-Reporting-(National),1947,Edward T. Folliard,The Washington Post
Telegraphic-Reporting-(National),1946,Edward A. Harris,St. Louis Post-Dispatch
Telegraphic-Reporting-(National),1945,James B. Reston,The New York Times
Telegraphic-Reporting-(National),1944,Dewey L. Fleming,The Baltimore Sun
Telegraphic-Reporting-(National),1943,None,None
Telegraphic-Reporting-(National),1942,Louis Stark,The New York Times